nationality,pca_race_points,physical_score,race_difficulty,combined_score_per_km,consistency_score,race_performance_score
42,3.9606848,-0.6462324,-1.6374611,0.39151055,-0.5042798,2.3769069
42,1.6929941,-0.6462324,-2.4929821,7.2313495,-0.5042798,2.503643
42,0.5248252,-0.12788448,-2.4680188,5.873344,-0.5042798,2.4183342
42,2.4142704,0.13128921,-2.524882,2.0006578,-0.5042798,-1.343655
40,3.9533057,-1.1572353,-2.3575175,1.1812178,0.1542471,1.8616179
27,-0.01254463,-0.6347948,-2.5218017,9.5668335,-0.16267037,2.562444
27,-0.19507737,-0.11644741,-2.5770044,47.094948,-0.16267037,-1.2084727
47,-0.19507737,0.13950011,-2.5611544,13.291729,-0.74455804,-1.476674
62,2.4142704,-0.8932375,-0.6461502,-0.32274997,-1.2660517,-1.4543276
4,1.7878989,-1.1420418,-2.508508,7.020877,-0.080243856,1.9246259
18,-0.19507737,0.14111288,-2.5770044,47.094948,-0.34892195,-1.4155368
25,-0.19507737,-2.194635,-2.5258355,1.660385,-1.2987165,-1.538018
4,-0.19507737,-1.7129222,-2.5245924,2.4612691,-0.90785116,-0.6889958
61,2.366029,-1.16293,-2.3214371,0.7801028,-1.2950921,-1.3907835
70,1.0563431,0.10241077,-2.3828037,1.3297492,-0.32741374,1.7766505
70,0.20795003,0.10241077,-0.86349785,-0.19289885,-0.32741374,2.2933168
70,1.1161864,-0.6751109,-2.18761,0.62998223,-0.32741374,1.1964003
70,0.3466688,-0.6751109,-2.3705277,1.6170667,-0.32741374,1.3618344
70,-0.19507737,-1.4526325,-2.5755587,19.36762,-0.32741374,-1.125336
37,19.19578,0.657892,1.4280785,-0.2744423,1.5126809,0.7826379
37,0.077983856,-0.119629696,-2.5410714,5.2460346,1.5126809,1.6309966
24,0.077983856,-0.12780415,-2.536785,4.150415,3.559703,1.6930732
24,-0.04175395,-0.12780415,-2.5410714,5.244081,3.559703,1.609818
25,0.19624591,-1.1540264,1.3885869,-0.32204297,17.70193,-0.25358427
25,-0.19507737,-0.8948527,-2.3705277,1.6149436,17.70193,-0.31589764
61,0.17874071,-0.38403222,-2.5620139,15.246042,-0.82315296,-1.4325732
62,2.4142704,-0.11224433,-2.152312,0.030894672,-0.9546269,-1.4535109
62,8.003629,-0.371418,1.2024164,-0.34044692,-0.9546269,-0.81226665
62,8.383247,-0.371418,1.9468385,-0.32009447,-0.9546269,-0.0047682067
62,-0.16149175,-0.889766,-2.5222857,6.0259724,-0.9546269,-1.0201895
62,6.111334,-0.6305923,1.4599729,-0.3533498,-0.9546269,-1.1022676
62,0.54233044,-0.889766,-2.4161668,2.120566,-0.9546269,-1.1433662
47,-0.12790614,3.2501168,-2.0926976,-0.005237362,-0.7934951,-1.5167329
47,0.4664066,2.4725952,-2.508508,7.008504,-0.7934951,1.8181025
47,11.1824045,2.9909432,1.1704764,-0.34123883,-0.7934951,-0.60503757
47,5.782857,1.4359,-2.05449,0.4854227,-0.7934951,0.20399621
47,1.8828036,1.1767256,-2.5144181,6.3864155,-0.7934951,1.5110537
