_url,name,birth_year,weight,height,nationality
oleg-iarochenko,Oleg  Iarochenko,1962.0,63.297861734987066,177.34374367600535,Russia
andrei-vedernikov,Andrei  Vedernikov,1959.0,69.14178580292625,180.39702956924472,Russia
juan-martinez-oliver,Juan  Martínez,1964.0,62.64373094753203,178.49466317610623,Spain
thomas-pidcock,Thomas  Pidcock,1999.0,58.0,170.0,Great Britain
gerhard-trampusch,Gerhard  Trampusch,1978.0,60.0,173.0,Austria
alessandro-proni,Alessandro  Proni,1982.0,68.0,183.0,Italy
javier-aramendia,Javier  Aramendia,1986.0,72.0,187.0,Spain
maryan-hary,Maryan  Hary,1980.0,68.0,185.0,France
jose-francisco,Jose Francisco  Jarque,1971.0,60.78527535985468,175.866773861477,Spain
alessandro-spezialetti,Alessandro  Spezialetti,1975.0,67.0,179.0,Italy
ludovic-robeet,Ludovic  Robeet,1994.0,75.0,194.0,Belgium
christian-poos,Christian  Poos,1977.0,64.27806941364379,185.92011449828848,Luxembourg
timofey-kritskiy,Timofey  Kritskiy,1987.0,81.0,190.0,Russia
john-baldi,John  Baldi,1966.0,62.15715011838728,174.19477920180273,Italy
ad-wijnands,Ad  Wijnands,1959.0,61.431272074084376,174.49933427228999,Netherlands
yvan-haymoz,Yvan  Haymoz,1975.0,70.09675368762055,178.4767004261448,Switzerland
antoine-demoitie,Antoine  Demoitié,1990.0,69.0,180.0,Belgium
franco-vona,Franco  Vona,1964.0,66.63966284279003,181.73108563514705,Italy
pieter-mertens,Pieter  Mertens,1980.0,67.0,181.0,Belgium
asier-guenetxea,Asier  Guenetxea,1970.0,79.42769470877877,182.27877838510034,Spain
milan-menten,Milan  Menten,1996.0,68.0,174.0,Belgium
laurence-pithie,Laurence  Pithie,2002.0,74.0,185.0,New Zealand
eric-de-clercq,Eric De Clercq,1967.0,68.03566530344087,176.41590975063397,Belgium
mart-ojavee,Mart  Ojavee,1981.0,80.0,183.0,Estonia
giovanni-paolo-bottoia,Giovanni Paolo  Bottoia,1962.0,63.25931282131858,172.25595163873945,Italy
thomas-durst,Thomas  Durst,1967.0,73.89634667213122,188.34800969449205,Germany
rene-koppert,René  Koppert,1960.0,65.53006976434247,181.65733769968966,Netherlands
baden-cooke,Baden  Cooke,1978.0,75.0,180.0,Australia
jose-luis-navarro,José Luis  Navarro,1962.0,71.46801280066197,186.34512741162237,Spain
maxim-belkov,Maxim  Belkov,1985.0,71.0,184.0,Russia
pedro-jimenez-villanueva,Pedro  Jiménez,1974.0,70.62589026031854,177.3149173478835,Spain
angel-gomez-gomez,Ángel  Gómez,1981.0,68.0,183.0,Spain
