Unnamed: 0,points,uci_points,length,climb_total,profile,startlist_quality,cyclist_age,delta,label
145648,5.0,0.0,293000.0,2096.0,2.0,938.0,29.0,361.0,1.0
592484,0.0,0.0,201000.0,1150.0,1.0,817.0,30.0,13858.0,1.0
75986,0.0,0.0,169400.0,1405.0,2.0,981.0,33.0,11811.0,1.0
408119,4.0,10.0,183500.0,2453.0,2.0,855.0,20.0,14464.0,0.0
17435,0.0,0.0,147900.0,4015.0,5.0,781.0,26.0,453.0,1.0
212585,5.0,0.0,204200.0,1666.0,2.0,749.0,39.0,716.0,1.0
224693,0.0,0.0,185000.0,2741.0,5.0,530.0,32.0,1101.0,1.0
570881,0.0,0.0,196500.0,2958.0,2.0,789.0,30.0,10380.0,0.0
347975,0.0,0.0,219000.0,2144.0,2.0,1059.0,37.0,15033.0,1.0
127102,0.0,0.0,218000.0,2503.0,3.0,1044.0,38.0,1059.0,1.0
249686,0.0,0.0,35000.0,84.0,1.0,835.0,37.0,323.0,1.0
216064,0.0,0.0,167300.0,2865.0,3.0,781.0,30.0,183.0,1.0
93705,0.0,0.0,155200.0,3582.0,5.0,1182.0,21.0,560.0,1.0
427013,0.0,0.0,196000.0,4730.0,4.0,817.0,28.0,179.0,1.0
273666,0.0,0.0,15840.0,884.0,5.0,508.0,26.0,630.0,1.0
51443,0.0,0.0,177600.0,2746.0,2.0,767.0,31.0,1161.0,1.0
348058,0.0,0.0,219000.0,2144.0,2.0,1059.0,25.0,6907.0,1.0
309063,0.0,0.0,171500.0,1785.0,1.0,1551.0,36.0,12064.0,1.0
