points,uci_points,length,climb_total,profile,startlist_quality,cyclist_age,delta,label
0.0,0.0,134800.0,3828.0,5.0,789.0,28.0,1136.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,25.0,1136.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,33.0,1136.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,30.0,1136.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,28.0,1136.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,26.0,1136.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,28.0,1136.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,36.0,1136.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,36.0,1136.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,30.0,1136.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,32.0,1136.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,27.0,1136.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,29.0,1136.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,24.0,1136.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,23.0,1136.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,30.0,1136.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,37.0,1136.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,35.0,1136.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,25.0,1136.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,24.0,1136.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,31.0,1136.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,30.0,1136.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,22.0,1136.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,30.0,1136.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,29.0,1136.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,36.0,1136.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,28.0,1136.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,26.0,1176.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,29.0,1211.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,23.0,1213.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,29.0,1232.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,25.0,1232.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,23.0,1232.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,24.0,1232.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,23.0,1241.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,30.0,1291.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,39.0,1291.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,32.0,1316.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,34.0,1328.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,28.0,1328.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,29.0,1328.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,25.0,1328.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,27.0,1337.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,24.0,1337.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,20.0,1361.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,26.0,1364.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,21.0,1371.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,28.0,1371.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,31.0,1371.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,26.0,1378.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,22.0,1413.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,26.0,1426.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,38.0,1481.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,31.0,1600.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,23.0,1619.0,1.0
0.0,0.0,134800.0,3828.0,5.0,789.0,21.0,1690.0,1.0
20.0,14.0,177600.0,3006.0,3.0,225.0,36.0,0.0,0.0
12.0,5.0,177600.0,3006.0,3.0,225.0,42.0,13335.0,0.0
7.0,3.0,177600.0,3006.0,3.0,225.0,31.0,13130.0,0.0
5.0,0.0,177600.0,3006.0,3.0,225.0,25.0,12180.0,0.0
4.0,0.0,177600.0,3006.0,3.0,225.0,37.0,11687.0,0.0
3.0,0.0,177600.0,3006.0,3.0,225.0,24.0,11076.0,0.0
2.0,0.0,177600.0,3006.0,3.0,225.0,36.0,10441.0,0.0
1.0,0.0,177600.0,3006.0,3.0,225.0,27.0,9725.0,0.0
0.0,0.0,177600.0,3006.0,3.0,225.0,31.0,9208.0,0.0
0.0,0.0,177600.0,3006.0,3.0,225.0,31.0,9065.0,0.0
0.0,0.0,177600.0,3006.0,3.0,225.0,25.0,8220.0,0.0
0.0,0.0,177600.0,3006.0,3.0,225.0,24.0,8086.0,0.0
0.0,0.0,177600.0,3006.0,3.0,225.0,23.0,7642.0,0.0
0.0,0.0,177600.0,3006.0,3.0,225.0,26.0,7274.0,0.0
0.0,0.0,177600.0,3006.0,3.0,225.0,30.0,7368.0,0.0
0.0,0.0,177600.0,3006.0,3.0,225.0,27.0,6594.0,0.0
0.0,0.0,177600.0,3006.0,3.0,225.0,20.0,6378.0,0.0
0.0,0.0,177600.0,3006.0,3.0,225.0,32.0,61.0,0.0
0.0,0.0,177600.0,3006.0,3.0,225.0,26.0,61.0,0.0
0.0,0.0,177600.0,3006.0,3.0,225.0,25.0,64.0,1.0
0.0,0.0,177600.0,3006.0,3.0,225.0,23.0,64.0,1.0
0.0,0.0,177600.0,3006.0,3.0,225.0,26.0,64.0,1.0
0.0,0.0,177600.0,3006.0,3.0,225.0,34.0,64.0,1.0
0.0,0.0,177600.0,3006.0,3.0,225.0,36.0,68.0,1.0
0.0,0.0,177600.0,3006.0,3.0,225.0,33.0,68.0,1.0
0.0,0.0,177600.0,3006.0,3.0,225.0,26.0,68.0,1.0
0.0,0.0,177600.0,3006.0,3.0,225.0,28.0,68.0,1.0
0.0,0.0,177600.0,3006.0,3.0,225.0,41.0,68.0,1.0
0.0,0.0,177600.0,3006.0,3.0,225.0,33.0,73.0,1.0
0.0,0.0,177600.0,3006.0,3.0,225.0,25.0,75.0,1.0
0.0,0.0,177600.0,3006.0,3.0,225.0,28.0,79.0,1.0
0.0,0.0,177600.0,3006.0,3.0,225.0,24.0,79.0,1.0
0.0,0.0,177600.0,3006.0,3.0,225.0,22.0,81.0,1.0
0.0,0.0,177600.0,3006.0,3.0,225.0,35.0,81.0,1.0
0.0,0.0,177600.0,3006.0,3.0,225.0,37.0,81.0,1.0
0.0,0.0,177600.0,3006.0,3.0,225.0,35.0,90.0,1.0
0.0,0.0,177600.0,3006.0,3.0,225.0,38.0,90.0,1.0
0.0,0.0,177600.0,3006.0,3.0,225.0,31.0,97.0,1.0
0.0,0.0,177600.0,3006.0,3.0,225.0,27.0,97.0,1.0
0.0,0.0,177600.0,3006.0,3.0,225.0,35.0,99.0,1.0
0.0,0.0,177600.0,3006.0,3.0,225.0,28.0,101.0,1.0
0.0,0.0,177600.0,3006.0,3.0,225.0,24.0,107.0,1.0
0.0,0.0,177600.0,3006.0,3.0,225.0,24.0,107.0,1.0
0.0,0.0,177600.0,3006.0,3.0,225.0,22.0,107.0,1.0
0.0,0.0,177600.0,3006.0,3.0,225.0,27.0,110.0,1.0
0.0,0.0,177600.0,3006.0,3.0,225.0,32.0,110.0,1.0
0.0,0.0,177600.0,3006.0,3.0,225.0,37.0,118.0,1.0
0.0,0.0,177600.0,3006.0,3.0,225.0,36.0,121.0,1.0
0.0,0.0,177600.0,3006.0,3.0,225.0,36.0,121.0,1.0
0.0,0.0,177600.0,3006.0,3.0,225.0,33.0,121.0,1.0
0.0,0.0,177600.0,3006.0,3.0,225.0,32.0,121.0,1.0
0.0,0.0,177600.0,3006.0,3.0,225.0,23.0,125.0,1.0
0.0,0.0,177600.0,3006.0,3.0,225.0,21.0,126.0,1.0
0.0,0.0,177600.0,3006.0,3.0,225.0,23.0,128.0,1.0
